state,slope_deg,rainfall_24h_mm,rainfall_72h_mm,elevation_m,soil_moisture_pct,pore_pressure_kpa,insar_deformation_mm_yr,lithology_factor,vibration_g,risk_score,risk_class,risk_tier
Sikkim,50.7,101.5,304.8,2002.0,45.4,10.4,25.4,2.26,0.171,52.2,1,MODERATE
Arunachal Pradesh,32.0,81.4,166.1,1774.0,34.5,5.5,37.4,1.76,0.109,35.0,0,LOW
Arunachal Pradesh,28.0,240.7,544.7,1600.0,66.3,32.9,28.9,1.71,0.172,58.4,1,MODERATE
Arunachal Pradesh,35.1,50.7,160.2,566.0,35.8,7.8,53.2,1.8,0.099,47.7,1,MODERATE
Arunachal Pradesh,31.9,222.2,389.8,1549.0,63.1,26.7,43.5,1.83,0.189,69.1,1,MODERATE
Arunachal Pradesh,35.7,156.9,347.2,1270.0,53.8,13.9,12.5,2.02,0.148,48.4,1,MODERATE
Sikkim,51.2,305.7,803.9,1333.0,72.3,35.8,66.0,2.33,0.246,83.9,2,HIGH
Meghalaya,40.5,357.9,988.7,455.0,88.1,59.1,42.8,2.2,0.188,85.4,2,HIGH
Meghalaya,22.1,494.8,1071.4,1204.0,98.0,68.7,26.8,2.08,0.243,92.3,2,HIGH
Arunachal Pradesh,45.6,122.9,232.2,855.0,50.9,16.3,22.2,1.75,0.189,48.1,1,MODERATE
Meghalaya,23.0,246.4,697.3,309.0,56.9,22.8,12.2,2.05,0.169,48.8,1,MODERATE
Arunachal Pradesh,32.2,218.7,444.4,962.0,64.0,24.9,42.8,1.76,0.172,60.0,1,MODERATE
Sikkim,37.2,384.2,686.9,2081.0,87.1,57.7,20.4,2.49,0.269,91.6,2,HIGH
Sikkim,51.2,341.4,595.5,2452.0,74.8,42.2,33.7,2.52,0.247,80.7,2,HIGH
Meghalaya,39.2,225.0,629.6,743.0,62.8,28.6,32.4,2.33,0.22,72.3,2,HIGH
Arunachal Pradesh,57.9,367.4,873.3,766.0,87.4,52.5,66.0,1.86,0.304,99.0,2,HIGH
Meghalaya,38.2,22.7,85.3,1199.0,29.0,6.9,34.8,2.09,0.146,36.6,0,LOW
Sikkim,48.7,150.1,369.9,2345.0,54.2,15.0,58.9,2.39,0.189,69.0,1,MODERATE
Meghalaya,32.6,325.8,704.3,1239.0,72.1,38.0,45.3,2.38,0.206,76.5,2,HIGH
Meghalaya,48.4,195.3,474.6,1574.0,57.7,21.0,19.3,2.19,0.179,52.8,1,MODERATE
Arunachal Pradesh,48.0,223.1,395.7,3170.0,60.7,21.6,51.5,2.0,0.236,72.5,2,HIGH
Sikkim,37.6,345.7,946.6,2844.0,84.3,63.0,49.5,2.46,0.248,86.8,2,HIGH
Sikkim,38.8,176.5,320.8,1265.0,63.5,22.0,22.9,2.44,0.166,60.6,1,MODERATE
Meghalaya,33.3,428.1,782.3,411.0,89.0,56.1,26.9,2.25,0.205,93.5,2,HIGH
Sikkim,41.3,320.2,583.6,1346.0,81.1,45.3,27.9,2.38,0.224,74.3,2,HIGH
Meghalaya,38.1,168.4,522.4,1021.0,51.0,22.6,13.4,2.14,0.167,56.3,1,MODERATE
Arunachal Pradesh,50.2,309.5,625.9,2149.0,72.1,38.1,22.9,1.9,0.287,73.5,2,HIGH
Sikkim,54.6,368.2,909.6,2419.0,80.0,46.5,65.9,2.45,0.289,98.4,2,HIGH
Sikkim,35.1,57.1,99.2,1370.0,35.8,8.5,24.6,2.54,0.114,40.2,1,MODERATE
Meghalaya,27.2,516.4,790.6,1558.0,89.8,63.4,28.2,2.23,0.248,87.4,2,HIGH
Sikkim,54.2,364.8,792.3,2558.0,87.2,55.6,41.3,2.36,0.272,95.4,2,HIGH
Sikkim,42.8,62.5,147.7,2197.0,37.7,9.5,56.4,2.59,0.154,60.3,1,MODERATE
Sikkim,33.0,85.8,264.8,1382.0,44.4,11.0,11.8,2.53,0.122,41.8,1,MODERATE
Meghalaya,23.2,328.1,927.4,608.0,80.7,49.3,18.1,2.28,0.14,63.5,1,MODERATE
Sikkim,41.0,383.5,641.1,1220.0,79.1,44.6,20.7,2.46,0.261,83.2,2,HIGH
Arunachal Pradesh,38.2,189.4,334.1,1509.0,48.3,16.9,7.3,2.07,0.175,49.2,1,MODERATE
Sikkim,55.2,234.0,592.5,2018.0,69.4,39.1,60.5,2.31,0.28,77.9,2,HIGH
Arunachal Pradesh,31.2,184.2,400.0,433.0,57.6,27.9,21.4,2.03,0.141,52.7,1,MODERATE
Arunachal Pradesh,27.5,358.3,761.3,2958.0,75.9,41.5,26.8,2.01,0.215,68.3,1,MODERATE
Sikkim,45.4,178.5,561.4,2709.0,48.3,12.4,28.0,2.55,0.193,58.4,1,MODERATE
Meghalaya,40.4,421.3,839.5,567.0,85.5,50.4,27.9,2.3,0.261,89.7,2,HIGH
Sikkim,43.5,362.4,836.5,2778.0,78.3,43.0,24.3,2.45,0.23,80.0,2,HIGH
Arunachal Pradesh,45.4,372.9,894.0,1864.0,85.4,51.7,44.9,2.06,0.262,92.4,2,HIGH
Meghalaya,20.1,511.1,1095.7,897.0,98.0,72.9,17.1,2.25,0.238,85.5,2,HIGH
Sikkim,45.2,186.1,465.0,2454.0,61.4,25.0,52.4,2.44,0.207,66.4,1,MODERATE
Arunachal Pradesh,34.2,79.6,139.8,1582.0,38.6,5.7,31.7,1.98,0.118,42.0,1,MODERATE
Arunachal Pradesh,30.2,152.7,285.1,454.0,51.8,17.7,33.4,2.07,0.162,47.2,1,MODERATE
Arunachal Pradesh,40.3,287.8,445.4,2340.0,68.5,35.5,39.6,1.88,0.184,69.4,1,MODERATE
Meghalaya,40.8,116.6,324.2,416.0,41.4,11.4,17.8,2.19,0.188,41.5,1,MODERATE
Arunachal Pradesh,27.9,211.0,531.0,1495.0,59.6,22.0,24.2,1.96,0.122,54.5,1,MODERATE
Meghalaya,26.6,514.9,752.0,775.0,98.0,71.6,6.0,2.32,0.262,95.0,2,HIGH
Sikkim,51.2,130.6,270.9,2873.0,56.6,26.3,22.6,2.51,0.18,54.9,1,MODERATE
Sikkim,35.2,317.1,738.7,2582.0,76.0,38.4,56.5,2.33,0.179,81.7,2,HIGH
Arunachal Pradesh,43.1,215.4,420.2,464.0,59.7,21.0,52.4,1.74,0.209,66.8,1,MODERATE
